Crime Category,Anuradhapura,Ampara,Badulla (Badulla & Bandarawela ),Batticaloa,"Colombo (Colombo South, North, Central) Mt. Laviniya, Nugegoda",Galle (Galle/ Elpitiya),Gampaha (Kelaniya/Gampha/Negombo Div),"Jaffna(Jaffna, KKS)","Kalutara (Kalutara,Panadura)","Kandy (Kandy, Gampola)","Kegalle (Kegalle, Sithawakapura0","Kilinochchi (Kilinochchi, Mankulam )","Kurunegala (Kurunegala, Kuliyapitiya, Nikaweratiya )",Mannar,Matale,Matara,Monaragala,Mulllativu,"Nuwara Eliya (Hatton, Nuwara Eliya )",Polonnaruwa,"Puttlam (Puttlam, Chilaw )",Ratnapura,Hambanthota (Tangalle ),"Trincomalee (Kantale, Trincomalee )",Vavuniya,Total
Abduction / Kidnapping,68,29,38,21,154,73,159,23,72,62,60,7,91,6,30,51,29,5,21,42,55,56,53,17,10,1232
Arson,47,31,14,33,22,38,27,6,17,30,42,3,53,7,14,28,16,4,10,17,21,50,23,23,9,585
Mischief  over Rs.5000/=,107,36,42,38,140,32,100,46,50,68,58,6,60,13,29,26,22,3,32,31,26,68,33,18,11,1095
H.B. & Theft,834,239,359,227,2996,748,3235,204,1120,918,997,71,952,43,269,555,334,30,190,283,438,900,487,210,120,16759
Grevious  Hurt,108,69,112,56,248,81,140,42,62,143,59,25,73,11,66,40,27,15,96,48,25,101,16,50,13,1726
Hurt  by Knife etc.,72,38,85,89,379,110,331,53,185,226,275,40,191,15,71,101,37,7,84,74,105,198,56,42,6,2870
Homicide/Abet. To commit suicide,24,16,28,11,62,50,76,23,35,20,26,4,58,4,14,29,24,3,17,9,22,46,21,13,10,645
Attempted Homicide,15,12,11,2,21,13,16,2,7,13,3,4,12,3,7,6,13,3,13,5,8,19,12,4,0,224
Rape / Incest,199,37,73,52,120,133,141,60,108,123,123,27,207,15,76,111,77,9,43,72,92,130,106,39,15,2188
Riot,4,1,3,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,15
Robbery,242,66,128,89,1542,481,1413,91,390,285,279,27,297,10,85,196,78,10,48,96,149,295,181,35,32,6545
Unnatural Offence/Grve Sexual Abuse,36,35,25,2,23,33,3,0,11,53,34,0,74,0,22,11,33,0,4,10,29,57,38,15,6,554
Extortion,9,2,1,4,37,4,33,0,4,7,1,1,11,0,0,7,0,0,1,1,1,2,2,1,2,131
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",270,232,138,225,1736,249,1266,211,301,349,177,73,537,62,92,189,39,13,107,124,224,248,218,123,129,7332
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value,584,242,296,221,2809,363,1910,191,725,631,474,140,668,61,165,258,174,56,154,217,278,487,274,176,136,11690
Counterfeiting Currency,6,1,1,1,4,3,9,0,0,6,1,0,1,0,0,0,0,0,2,4,1,3,1,0,1,45
Offences against  State,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Cruelty to Children & sexual  exploitation of children,23,1,2,6,52,4,67,9,41,28,22,7,7,7,2,41,2,0,8,41,3,7,1,1,2,384
Procuration / Trafficking,2,2,0,3,1,3,2,1,0,1,0,1,1,0,0,5,0,0,0,1,0,1,0,0,1,25
Offences  under the  Offensive weapons Act.,4,1,3,1,21,26,26,2,4,5,3,4,10,2,0,7,3,1,0,1,9,6,8,4,9,160
Possession of  Automatic or  Repeater Shot Guns,1,0,0,1,6,2,3,0,0,1,1,1,0,0,1,0,0,0,0,3,5,1,2,1,0,29
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",7,1,20,3,573,65,75,3,83,6,6,0,10,4,20,11,44,0,2,1,12,20,56,1,5,1028
